model,arm,mode,N,lam,valid,novel,prop,hits@0.5,hits@0.55,hits@0.6,hits@0.65,hits@0.7
UDLM,A,edlm,10,1000.0,891,239,0.5103740178991523,144,62,23,4,0
UDLM,A,edlm,30,1000.0,928,272,0.5245583133798927,187,99,27,3,0
UDLM,A,edlm,100,1000.0,921,297,0.5347831678390303,220,130,42,6,0
UDLM,A,edlm,300,1000.0,938,326,0.5417775306466839,255,150,59,9,0
UDLM,A,edlm,10,5000.0,889,240,0.5102392175431686,144,63,22,4,0
UDLM,A,edlm,30,5000.0,923,265,0.5243657864585988,185,93,25,3,0
UDLM,A,edlm,100,5000.0,920,300,0.5337318425959946,221,130,42,4,0
UDLM,A,edlm,300,5000.0,936,325,0.540760254587888,252,149,58,8,0
UDLM,A,marginal,10,20.0,893,239,0.4759538959499071,101,39,9,0,0
UDLM,A,marginal,30,20.0,920,246,0.4871983303445962,106,55,12,2,0
UDLM,A,marginal,100,20.0,934,288,0.4892271177055154,138,54,17,1,0
UDLM,A,marginal,300,20.0,929,251,0.4854436667968976,103,50,9,1,0
UDLM,A,marginal,10,50.0,885,236,0.4922912609453269,111,45,13,0,0
UDLM,A,marginal,30,50.0,924,238,0.5050199230932989,124,69,27,3,0
UDLM,A,marginal,100,50.0,921,259,0.5064199763401521,152,63,20,2,0
UDLM,A,marginal,300,50.0,917,259,0.5130712430032242,160,87,21,2,0
UDLM,A,marginal,10,200.0,886,232,0.5055686232258116,128,63,15,2,0
UDLM,A,marginal,30,200.0,920,245,0.515206361086532,160,81,17,2,0
UDLM,A,marginal,100,200.0,910,279,0.52116878517473,186,96,35,11,0
UDLM,A,marginal,300,200.0,925,316,0.5329970695909625,229,132,43,6,1
UDLM,A,marginal,10,1000.0,892,231,0.5023387333895099,118,55,11,1,0
UDLM,A,marginal,30,1000.0,918,269,0.5223912652609358,179,99,27,5,0
UDLM,A,marginal,100,1000.0,929,288,0.5285821301710717,207,105,31,6,0
UDLM,A,marginal,300,1000.0,921,311,0.5332530087203656,232,126,47,10,1
UDLM,A,marginal,10,5000.0,894,236,0.5060749240828569,123,57,14,2,0
UDLM,A,marginal,30,5000.0,916,267,0.5219187776714426,179,95,29,5,0
UDLM,A,marginal,100,5000.0,932,287,0.5274700602196489,206,106,30,6,0
UDLM,A,marginal,300,5000.0,923,307,0.5341072930172504,230,127,50,11,2
UDLM,A$_{\mathrm{eu}}$,edlm,10,5000.0,888,250,0.5111292625817945,152,78,13,0,0
UDLM,A$_{\mathrm{eu}}$,edlm,30,5000.0,932,271,0.5242549820944864,190,104,28,5,0
UDLM,A$_{\mathrm{eu}}$,edlm,100,5000.0,917,308,0.5341113052570063,223,131,49,5,0
UDLM,A$_{\mathrm{eu}}$,edlm,300,5000.0,934,336,0.5384467083574997,252,146,57,12,1
UDLM,A$_{\mathrm{eu}}$,marginal,10,5000.0,878,248,0.4976944296654133,139,65,15,2,0
UDLM,A$_{\mathrm{eu}}$,marginal,30,5000.0,916,260,0.5175506984433498,167,88,28,1,0
UDLM,A$_{\mathrm{eu}}$,marginal,100,5000.0,926,261,0.5287159613728787,185,100,31,6,0
UDLM,A$_{\mathrm{eu}}$,marginal,300,5000.0,911,305,0.5377819153596157,235,129,52,12,3
UDLM,B,edlm,10,20.0,894,252,0.4886302269913799,113,46,9,1,0
UDLM,B,edlm,30,20.0,943,264,0.4931631197542798,125,57,13,2,0
UDLM,B,edlm,100,20.0,960,287,0.5001290598013721,153,77,17,1,0
UDLM,B,edlm,300,20.0,969,277,0.4919148514436295,134,50,12,0,0
UDLM,B,edlm,10,50.0,886,242,0.5052492848456117,131,70,11,2,0
UDLM,B,edlm,30,50.0,933,283,0.5114533766270143,165,90,27,5,0
UDLM,B,edlm,100,50.0,947,295,0.5218351226297643,198,104,33,2,0
UDLM,B,edlm,300,50.0,950,292,0.5292296277618976,201,107,28,3,0
UDLM,B,edlm,10,200.0,887,253,0.510427897278096,154,74,10,0,0
UDLM,B,edlm,30,200.0,923,282,0.5213884506297213,193,100,31,6,0
UDLM,B,edlm,100,200.0,921,300,0.5327927985134081,219,124,43,5,0
UDLM,B,edlm,300,200.0,937,331,0.5394004252329695,249,143,57,14,1
UDLM,B,edlm,10,1000.0,889,252,0.5106063273545394,151,78,13,0,0
UDLM,B,edlm,30,1000.0,931,270,0.5220687558954927,181,102,27,6,0
UDLM,B,edlm,100,1000.0,918,305,0.5336719695059138,224,128,46,5,0
UDLM,B,edlm,300,1000.0,936,347,0.5413752078211371,266,156,67,13,0
UDLM,B,edlm,10,5000.0,888,250,0.5111292625817946,152,78,13,0,0
UDLM,B,edlm,30,5000.0,932,271,0.5242549820944864,190,104,28,5,0
UDLM,B,edlm,100,5000.0,917,308,0.5341113052570065,223,131,49,5,0
UDLM,B,edlm,300,5000.0,934,336,0.5384467083574997,252,146,57,12,1
UDLM,B,marginal,10,20.0,873,240,0.4797517221001668,107,41,12,1,0
UDLM,B,marginal,30,20.0,922,259,0.4840276171207415,117,48,12,1,0
UDLM,B,marginal,100,20.0,930,267,0.4833867222536883,121,49,16,1,0
UDLM,B,marginal,300,20.0,928,269,0.4927953442656568,129,54,14,2,0
UDLM,B,marginal,10,50.0,871,231,0.4892762828196806,119,46,9,1,0
UDLM,B,marginal,30,50.0,923,258,0.4987078791838102,141,57,17,4,0
UDLM,B,marginal,100,50.0,918,232,0.5091103700269584,130,57,23,4,0
UDLM,B,marginal,300,50.0,902,245,0.5100106687850835,146,83,21,3,0
UDLM,B,marginal,10,200.0,880,241,0.4979888146645008,134,60,13,2,0
UDLM,B,marginal,30,200.0,916,272,0.5149033694822895,173,83,27,2,0
UDLM,B,marginal,100,200.0,921,257,0.5244206259062532,170,99,36,10,0
UDLM,B,marginal,300,200.0,917,302,0.5325281813332959,219,123,42,7,1
UDLM,B,marginal,10,1000.0,879,249,0.4981707294091861,138,66,14,2,0
UDLM,B,marginal,30,1000.0,916,267,0.517213054742651,171,89,28,1,0
UDLM,B,marginal,100,1000.0,927,266,0.5284191939573167,189,105,31,8,0
UDLM,B,marginal,300,1000.0,915,310,0.5383686797411861,238,131,54,14,2
UDLM,B,marginal,10,5000.0,878,248,0.4976944296654133,139,65,15,2,0
UDLM,B,marginal,30,5000.0,915,260,0.5175506984433497,167,88,28,1,0
UDLM,B,marginal,100,5000.0,926,261,0.5287159613728787,185,100,31,6,0
UDLM,B,marginal,300,5000.0,911,305,0.5377819153596157,235,129,52,12,3
UDLM,C,edlm,10,20.0,935,250,0.4869031542771658,124,50,13,1,0
UDLM,C,edlm,30,20.0,954,282,0.4917398370384664,137,67,16,1,0
UDLM,C,edlm,100,20.0,972,280,0.5071316897228997,155,78,22,2,0
UDLM,C,edlm,300,20.0,978,306,0.5077972743470089,172,87,20,1,0
UDLM,C,edlm,10,50.0,935,241,0.5024248246183698,137,65,14,0,0
UDLM,C,edlm,30,50.0,929,272,0.5168099517869557,167,86,24,2,0
UDLM,C,edlm,100,50.0,955,265,0.5236170364529703,171,91,35,5,0
UDLM,C,edlm,300,50.0,958,306,0.5309367573783782,215,115,42,5,2
UDLM,C,edlm,10,200.0,922,229,0.5079096653484378,138,63,16,0,0
UDLM,C,edlm,30,200.0,933,255,0.5367115835838899,184,112,42,6,1
UDLM,C,edlm,100,200.0,932,289,0.5391787759716354,208,132,56,8,0
UDLM,C,edlm,300,200.0,944,356,0.5516226738340136,288,185,90,18,2
UDLM,C,edlm,10,1000.0,920,235,0.5088945330812852,143,64,18,1,0
UDLM,C,edlm,30,1000.0,932,259,0.5336749123084945,178,105,41,8,1
UDLM,C,edlm,100,1000.0,930,322,0.5411343176034178,231,154,62,10,0
UDLM,C,edlm,300,1000.0,934,369,0.5526669344520794,293,200,98,24,0
UDLM,C,edlm,10,5000.0,925,240,0.509064443850093,148,65,20,0,0
UDLM,C,edlm,30,5000.0,935,255,0.5307149935423927,171,100,38,6,1
UDLM,C,edlm,100,5000.0,934,327,0.5385168372077429,226,150,67,11,0
UDLM,C,edlm,300,5000.0,924,363,0.5538405347665613,292,202,91,20,0
UDLM,C,marginal,10,20.0,913,228,0.4644095435343434,85,35,6,0,0
UDLM,C,marginal,30,20.0,922,287,0.4826236178474688,131,53,14,1,0
UDLM,C,marginal,100,20.0,944,285,0.4940089349176704,134,68,18,2,0
UDLM,C,marginal,300,20.0,941,270,0.4896157351025984,127,50,11,1,0
UDLM,C,marginal,10,50.0,908,223,0.4968360548805201,114,63,18,1,0
UDLM,C,marginal,30,50.0,932,248,0.5004728886424988,130,61,20,1,0
UDLM,C,marginal,100,50.0,937,271,0.5123323299154224,151,91,33,5,0
UDLM,C,marginal,300,50.0,935,281,0.5175919312088064,169,98,36,3,0
UDLM,C,marginal,10,200.0,910,212,0.5062687265149605,123,64,19,2,0
UDLM,C,marginal,30,200.0,920,222,0.5364121376741703,162,100,37,2,0
UDLM,C,marginal,100,200.0,942,282,0.5298793546343191,197,115,47,6,0
UDLM,C,marginal,300,200.0,920,324,0.5363680892631556,229,153,56,9,0
UDLM,C,marginal,10,1000.0,921,223,0.514353620348112,145,76,21,1,0
UDLM,C,marginal,30,1000.0,932,246,0.536003967651773,181,108,36,3,0
UDLM,C,marginal,100,1000.0,945,309,0.541498154032112,227,139,74,16,0
UDLM,C,marginal,300,1000.0,930,353,0.5490265039987798,276,191,78,9,0
UDLM,C,marginal,10,5000.0,922,223,0.5123514867985405,143,70,21,1,0
UDLM,C,marginal,30,5000.0,939,242,0.5372970468143627,182,115,38,3,0
UDLM,C,marginal,100,5000.0,941,309,0.5448124112970303,233,141,72,15,0
UDLM,C,marginal,300,5000.0,937,342,0.5478704886669084,270,174,75,9,0
