N,k,steps,lam,metric,marginal_mean,marginal_sd,marginal_n,edlm_mean,edlm_sd,edlm_n,diff_mean,diff_sd,diff_se,diff_n
30,4,8,20.0,max,0.6923294629331244,0.021392212236932693,5,0.6820791606091906,0.023169793867195337,5,0.010250302323933824,0.014222425405821495,0.006360462002467379,5
30,4,8,200.0,valid,607.4,28.50087717948344,5,623.2,27.435378619585332,5,-15.8,30.152943471575043,13.484806264830057,5
30,4,8,200.0,novel,410.0,20.506096654409877,5,422.8,28.190423906000422,5,-12.8,26.975915183733804,12.063996021219502,5
30,4,8,200.0,hits@0.6,24.4,3.0495901363953815,5,30.0,6.519202405202649,5,-5.6,8.848728722251575,3.9572717874818757,5
30,4,8,200.0,hits@0.65,4.8,2.3874672772626644,5,3.6,0.8944271909999159,5,1.2,1.6431676725154984,0.7348469228349535,5
30,4,8,200.0,novel_qed_mean,0.4904428687565762,0.002919454004480768,5,0.49090887748414647,0.001737796116866272,5,-0.0004660087275702218,0.003668379607808655,0.001640549234066834,5
30,4,8,200.0,max,0.6961115332234792,0.021385184588116796,5,0.6963832173876533,0.012774071515041749,5,-0.00027168416417417963,0.019715677792986587,0.008817119153520207,5
30,4,8,1000.0,valid,610.6,26.2449995237188,5,623.8,26.64019519448009,5,-13.2,27.85139134765084,12.45552086425935,5
30,4,8,1000.0,novel,414.2,22.928148638736623,5,426.0,30.240701050074883,5,-11.8,25.242820761555155,11.288932633336067,5
30,4,8,1000.0,hits@0.6,25.0,3.082207001484488,5,33.0,7.713624310270756,5,-8.0,10.464224768228174,4.679743582719036,5
30,4,8,1000.0,hits@0.65,5.0,2.449489742783178,5,4.2,0.8366600265340756,5,0.8,1.7888543819998317,0.7999999999999999,5
30,4,8,1000.0,novel_qed_mean,0.49151678010888605,0.0033612392066458534,5,0.49196172250608794,0.0016417825472842822,5,-0.0004449423972018862,0.0034531994354267113,0.0015443177354956042,5
30,4,8,1000.0,max,0.6934525286773203,0.02368207738141255,5,0.6981718907325013,0.010871740332112122,5,-0.004719362055180976,0.01576925557226917,0.007052225482832242,5
30,8,4,0.0,valid,75.8,8.757853618324527,5,72.0,13.693063937629153,5,3.8,12.497999839974394,5.589275444992848,5
30,8,4,0.0,novel,59.2,4.324349662087931,5,56.8,10.871982339941507,5,2.4,8.17312669668102,3.655133376499413,5
30,8,4,0.0,hits@0.6,3.2,0.8366600265340756,5,2.0,2.5495097567963922,5,1.2,3.03315017762062,1.3564659966250534,5
30,8,4,0.0,hits@0.65,0.8,0.8366600265340756,5,0.2,0.4472135954999579,5,0.6,0.8944271909999159,0.39999999999999997,5
30,8,4,0.0,novel_qed_mean,0.464781400482076,0.020822097226533522,5,0.4607767111039336,0.00598583114442978,5,0.004004689378142445,0.025531643657351166,0.011418098159027711,5
30,8,4,0.0,max,0.6551671063191287,0.018418465052537927,5,0.6174820923416434,0.04407792396971325,5,0.03768501397748521,0.050979628035185326,0.022798782750865686,5
30,8,4,20.0,valid,202.0,12.90348790056394,5,200.8,9.418067742376884,5,1.2,20.38872237291979,9.118113840043893,5
30,8,4,20.0,novel,178.2,10.449880382090505,5,175.6,7.3006848993775915,5,2.6,11.502173707608488,5.143928459844673,5
30,8,4,20.0,hits@0.6,11.2,1.7888543819998317,5,9.8,2.16794833886788,5,1.4,3.2093613071762426,1.4352700094407322,5
30,8,4,20.0,hits@0.65,2.2,1.3038404810405297,5,1.4,1.51657508881031,5,0.8,1.6431676725154984,0.7348469228349535,5
30,8,4,20.0,novel_qed_mean,0.4836100887896224,0.008959032268201618,5,0.4806546546306512,0.003825949765081542,5,0.002955434158971193,0.010920511851636073,0.004883801369870071,5
30,8,4,20.0,max,0.6762469225389612,0.027646143636859,5,0.666181721451479,0.018892817573319075,5,0.010065201087482234,0.02506875102217697,0.011211086279321008,5
30,8,4,200.0,valid,208.4,13.939153489362258,5,201.8,10.353743284435827,5,6.6,23.52232981658067,10.519505691808906,5
30,8,4,200.0,novel,186.2,14.906374475371265,5,179.8,9.984988733093292,5,6.4,19.53970317072396,8.738420909981391,5
